file,format,codec,pattern,run_id,n,geometric_mean_sec,p95_sec,shapiro_W,shapiro_p,rho1,spearman_rho,spearman_p,p95_over_gm,non_normal_flag
hdf5_gzip_full_20250913-201255.json,hdf5,gzip,full,20250913-201255,50,156.9655018691948,159.59937874049703,0.67815754880867,3.4256803848185547e-09,0.6590251766226727,0.02991596638655462,0.8366085090060389,1.0167799729235862,True
hdf5_gzip_slice_20250913-175541.json,hdf5,gzip,slice,20250913-175541,50,0.2411751541720481,0.3416239073595093,0.9319645343188494,0.006562694860211498,-0.12001583636629075,-0.13872749099639856,0.3366543459943996,1.416497103660204,True
hdf5_lz4_full_20250914-095729.json,hdf5,lz4,full,20250914-095729,50,151.4274461078351,152.78044988882107,0.9707981483634388,0.24933754295708285,0.3357825343928252,-0.030876350540216087,0.8314382775692927,1.008934997028362,False
hdf5_lz4_slice_20250914-123356.json,hdf5,lz4,slice,20250914-123356,50,0.2223548499381165,0.2730840623772568,0.978256982090404,0.48102592812652045,0.06979265964473276,-0.09551020408163265,0.5093897359928292,1.2281452932250352,False
hdf5_zstd_full_20250914-121416.json,hdf5,zstd,full,20250914-121416,50,151.49728758855832,153.272146833477,0.8845075250754388,0.00015375700886949026,0.5730202319084817,-0.4015846338535414,0.0038453886834264235,1.0117154522907295,True
hdf5_zstd_slice_20250914-123859.json,hdf5,zstd,slice,20250914-123859,50,0.21000190414905834,0.2547220588128783,0.9256529146367326,0.0037976938646324,-0.21275643551602355,-0.07092436974789915,0.6245277341281964,1.212951186538184,True
root_gzip_full_20250915-142929.json,root,gzip,full,20250915-142929,50,442.48358902890004,464.2985826337589,0.9729794162641716,0.3046709970789883,0.7481652221234082,0.5851140456182473,8.094441529002552e-06,1.0493012490084328,False
root_gzip_slice_20250914-130547.json,root,gzip,slice,20250914-130547,50,0.4062865916987771,0.4712871972013103,0.9921267184688048,0.982945705055625,0.019914614225769765,-0.20144057623049216,0.16067647907755725,1.1599870801316647,False
root_lz4_full_20250915-145724.json,root,lz4,full,20250915-145724,50,363.4897140310302,375.0308437777823,0.9515743160566132,0.03960769021317822,0.7741907023538185,-0.29738295318127245,0.03596374201100203,1.0317509115148356,True
root_lz4_slice_20250914-131625.json,root,lz4,slice,20250914-131625,50,0.32831161928355185,0.38040855488342196,0.9769560263510471,0.43191158462270474,0.3195289150878558,-0.40984393757502996,0.003118802028819215,1.158681364106324,False
root_zstd_full_20250915-152157.json,root,zstd,full,20250915-152157,50,373.58896978921666,437.7108392704608,0.9800963141904679,0.5560332677124353,0.6031523672874155,0.12297719087635053,0.39486820177361015,1.171637480403724,False
root_zstd_slice_20250914-132431.json,root,zstd,slice,20250914-132431,50,0.2691237110602104,0.3111153764644237,0.9613024338450519,0.10079995507199802,-0.17493485529830485,-0.3222569027611044,0.02247002158350218,1.1560310878546805,False
tiledb_gzip_full_20250914-063913.json,tiledb,gzip,full,20250914-063913,50,11.25421041502736,12.41936298277387,0.9570654294321391,0.06699022961131448,0.6066673154093782,-0.09061224489795917,0.5314402237750233,1.1035303699485415,False
tiledb_gzip_slice_20250914-062234.json,tiledb,gzip,slice,20250914-062234,50,0.1953348635643779,0.2622110362172675,0.9739840848920449,0.33352269613872326,0.028990649310308293,-0.40244897959183673,0.003762944031735302,1.3423668024876099,False
tiledb_lz4_full_20250914-070640.json,tiledb,lz4,full,20250914-070640,50,13.601542829792121,14.387395424119982,0.9575164181516711,0.06996275172873273,0.6947719339968328,0.2388955582232893,0.0947591757621474,1.057776724608518,False
tiledb_lz4_slice_20250914-064937.json,tiledb,lz4,slice,20250914-064937,50,0.21426968980496272,0.2743589348123283,0.895016347648047,0.000330297298057856,0.0450751866087967,0.19346938775510203,0.17824045890452597,1.280437448068653,True
tiledb_zstd_full_20250914-073059.json,tiledb,zstd,full,20250914-073059,50,10.383968679342154,11.505423759651215,0.9347265576609719,0.008379234696075719,0.7451230558553211,0.1407442977190876,0.32960755485698945,1.1079986963500845,True
tiledb_zstd_slice_20250914-071737.json,tiledb,zstd,slice,20250914-071737,50,0.1768317601422556,0.2497861030497769,0.9741527340498383,0.3385818238144615,0.010789396513871582,-0.2618487394957983,0.06622246200583143,1.4125635736975746,False
zarr_gzip_full_20250815-125347.json,zarr,gzip,full,20250815-125347,50,35.59766446958468,36.41462182050895,0.9553959085714062,0.057059790643569405,0.7870621270195529,0.8515246098439375,4.634897027455595e-15,1.0229497458076862,False
zarr_gzip_slice_20250815-125347.json,zarr,gzip,slice,20250815-125347,50,0.22929770190093188,0.28286125509291915,0.9850374715854219,0.7732155984026898,-0.18519940726961048,0.03932773109243697,0.7862677701948961,1.2335982992761498,False
zarr_lz4_full_20250813-205113.json,zarr,lz4,full,20250813-205113,50,29.4834869751665,30.279511038472403,0.9731903652118123,0.3105477910573243,0.7122029532388272,0.05795918367346939,0.6893009948321578,1.0269989795975076,False
zarr_lz4_slice_20250813-202044.json,zarr,lz4,slice,20250813-202044,50,0.1758373315504218,0.3490803389902547,0.9421347894423465,0.016378518504701484,-0.08608116167843279,0.0790876350540216,0.5851032158998726,1.9852458855709774,True
zarr_zstd_full_20250815-134609.json,zarr,zstd,full,20250815-134609,50,30.364685709172953,31.093441297890084,0.9591793832077494,0.08212611158004608,0.5737963953071921,0.4057142857142857,0.0034653506685018614,1.0240001031361565,False
zarr_zstd_slice_20250815-134609.json,zarr,zstd,slice,20250815-134609,50,0.15509032427402047,0.19474821709275644,0.9269579141675997,0.004246943658662687,0.0016651525833835624,-0.17051620648259302,0.236440907511661,1.2557083622358456,True
