Rank,Format,GM (ms) [CI],p95 (ms) [CI],GETs/GiB,Stored GiB
1,zarr,"176 \ ([159, 195])","349 \ ([281, 414])",135.0,10.40
2,tiledb,"214 \ ([203, 227])","274 \ ([261, 403])",83.2,15.56
3,hdf5,"222 \ ([215, 230])","273 \ ([251, 281])",270.5,19.17
4,root,"328 \ ([314, 344])","380 \ ([369, 429])",51.1,13.31
