Rank,Format,GM thr (GiB/s) [CI],GM time (ms) [CI],GETs/GiB,Stored GiB
1,tiledb,"1.167 \ ([1.144, 1.197])","13\,602 \ ([13\,265, 13\,871])",93.7,15.56
2,zarr,"0.368 \ ([0.365, 0.371])","29\,483 \ ([29\,255, 29\,741])",124.5,10.40
3,hdf5,"0.129 \ ([0.129, 0.129])","151\,427 \ ([151\,201, 151\,666])",79.6,19.17
4,root,"0.075 \ ([0.074, 0.076])","363\,490 \ ([358\,672, 367\,871])",48.7,13.31
