Rank,Format,GM thr (GiB/s) [CI],GM time (ms) [CI],GETs/GiB,Stored GiB
1,tiledb,"1.037 \ ([1.013, 1.062])","11\,254 \ ([10\,994, 11\,529])",94.6,11.44
2,zarr,"0.318 \ ([0.315, 0.321])","35\,598 \ ([35\,280, 35\,926])",116.8,11.09
3,hdf5,"0.072 \ ([0.072, 0.072])","156\,966 \ ([156\,394, 157\,761])",137.7,11.11
4,root,"0.051 \ ([0.050, 0.052])","442\,484 \ ([434\,012, 451\,398])",58.5,11.09
