Format,n,Median_latency_ms,Median_ci_lo_ms,Median_ci_hi_ms,Median_ratio_vs_zarr,ratio_reference
tiledb,50,11186.9133955,10868.9921115,11486.275816,0.31463747938812425,zarr
zarr,50,35554.929493,35150.9351945,36057.356142000004,1.0,zarr
hdf5,50,156804.76118099998,156245.78592400003,157025.19457449997,4.410211563262176,zarr
root,50,442069.388132,432257.27122299996,455223.56418499997,12.43342046899668,zarr
