Format,n,GM_latency_ms,GM_ci_lo_ms,GM_ci_hi_ms,p95_ms,p95_ci_lo_ms,p95_ci_hi_ms,GM_ratio_vs_zarr,ratio_reference
tiledb,50,10383.968679342153,10123.107636316397,10686.791872079863,11505.564229000001,10695.993035399999,11770.81964235,0.34197517401621685,zarr
zarr,50,30364.685709172954,30166.63961020251,30554.96820033832,31093.443236699997,30714.1447458,31405.702622549998,1.0,zarr
hdf5,50,151497.28758855833,151070.53802804087,151996.08383412403,153272.5715358,152072.4321212,155554.2331929,4.989259201941684,zarr
root,50,373588.96978921664,357497.1657285091,390215.9266702508,437729.69667504996,419904.02037795,452207.6835972499,12.303403149546122,zarr
