Format,n,Median_latency_ms,Median_ci_lo_ms,Median_ci_hi_ms,Median_ratio_vs_zarr,ratio_reference
tiledb,50,10282.838906500001,9931.114796000002,10619.9890425,0.33989726039437645,zarr
zarr,50,30252.7854875,30149.6243485,30460.675262,1.0,zarr
hdf5,50,151476.10504,151087.280383,151657.596339,5.007013489802043,zarr
root,50,367065.793488,354750.22390750004,402528.67163299996,12.133289135959599,zarr
