Rank,Format,GM (ms) [CI],p95 (ms) [CI],GETs/GiB,Stored GiB
1,zarr,"155 \ ([149, 162])","195 \ ([177, 243])",135.0,10.51
2,tiledb,"177 \ ([165, 190])","250 \ ([205, 312])",120.7,10.74
3,hdf5,"210 \ ([205, 215])","255 \ ([236, 286])",488.0,10.67
4,root,"269 \ ([264, 275])","311 \ ([292, 341])",66.2,10.26
