Format,Score_Thr,Score_p95,Score_GETs,Score_Stored,Score_Total,Dominates,Dominated by
tiledb,100.0,100.0,39.40236974393999,39.380133470225864,81.81737548212487,,
zarr,29.584540910071404,95.84258641041441,0.0,100.0,42.33498318708429,,
root,0.0,0.0,100.0,68.25590349075975,25.238385523613964,,
hdf5,4.800193932862961,58.14096932661767,60.491402962256736,0.0,17.767923736718053,,
