Format,n,GM_latency_ms,GM_ci_lo_ms,GM_ci_hi_ms,p95_ms,p95_ci_lo_ms,p95_ci_hi_ms,GM_ratio_vs_zarr,ratio_reference
zarr,50,155.09032427402047,149.1855483172514,161.91265578777882,194.76591775,176.70740700000002,242.62705269999978,1.0,zarr
tiledb,50,176.8317601422556,164.97878861292756,189.87641365151748,249.78652129999998,205.49969900000002,312.40653249999997,1.1401856367894454,zarr
hdf5,50,210.00190414905833,205.1233268201225,215.20436956443885,254.78889154999996,235.60117774999998,286.17833004999994,1.3540619321810021,zarr
root,50,269.1237110602104,263.82891633152303,274.9056420477959,311.1232752,291.8141043,340.5833022,1.735270799903098,zarr
