Format,n,GM_latency_ms,GM_ci_lo_ms,GM_ci_hi_ms,p95_ms,p95_ci_lo_ms,p95_ci_hi_ms,GM_ratio_vs_zarr,ratio_reference
tiledb,50,195.3348635643779,181.41733285755424,209.7388334443147,262.23865565,231.98002539999993,318.1261802499997,0.8518832153353738,zarr
zarr,50,229.29770190093188,222.7216206943851,236.39047487613405,282.96377209999997,262.0207755,313.80736679999995,1.0,zarr
hdf5,50,241.1751541720481,231.6270141731025,251.94170766804697,341.74157579999996,295.0826276499999,364.32144024999997,1.051799264330385,zarr
root,50,406.2865916987771,396.63643150027985,416.0393071079865,471.30957954999997,450.79497125,501.10184249999986,1.7718738056708188,zarr
