Format,Score_GM,Score_p95,Score_GETs,Score_Stored,Score_Total,Dominates,Dominated by
tiledb,100.0,100.0,87.71667994483282,0.0,88.77166799448328,,
zarr,84.0585791324746,90.55560152132774,83.99589349705863,100.0,86.94585713345617,hdf5,
hdf5,77.49973337248403,59.043907446952126,0.0,93.3444259567389,67.64306410855473,,zarr
root,0.0,0.0,100.0,100.0,20.0,,
