Format,Score_Thr,Score_p95,Score_GETs,Score_Stored,Score_Total,Dominates,Dominated by
tiledb,100.0,100.0,59.703148407202036,0.0,78.9554722610803,,
zarr,33.069869527606976,95.625607775253,22.74255986538637,50.81018518518515,40.43739425167521,hdf5,
root,0.0,0.0,100.0,100.0,30.0,,
hdf5,1.509067215503749,63.52535851349067,0.0,13.77314814814811,9.323948402873533,,zarr
