Format,n,GM_latency_ms,GM_ci_lo_ms,GM_ci_hi_ms,p95_ms,p95_ci_lo_ms,p95_ci_hi_ms,GM_ratio_vs_zarr,ratio_reference
tiledb,50,11254.21041502736,10993.80781405951,11529.019481554078,12419.454412199999,11727.7801811125,12846.4378401,0.3161502470096928,zarr
zarr,50,35597.66446958468,35280.29390826504,35925.55107780006,36414.62686605,35871.113401149996,36446.654563300006,1.0,zarr
hdf5,50,156965.50186919482,156394.2692022641,157761.46460763662,159599.90274865,157119.48520815,162739.05517049998,4.409432590818118,zarr
root,50,442483.5890289,434012.13176280365,451398.0943405196,464300.8161759,451985.323134,468890.788934,12.430129774580196,zarr
