format,n,gm_ms,gm_lo_ms,gm_hi_ms,p95_ms,p95_lo_ms,p95_hi_ms
hdf5,50,241.1751541720481,229.84955424514553,253.05881136438896,341.74157579999996,296.96990289999997,364.32144024999997
root,50,406.2865916987771,395.156354927417,417.73033012344933,471.30957954999997,450.845493,501.10184249999986
tiledb,50,195.3348635643779,183.76250827374383,207.63598234562113,262.23865565,233.40829499999998,318.1261802499997
zarr,50,229.29770190093188,220.89319138528526,238.02198595312183,282.96377209999997,261.00978200000003,313.80736679999995
