Format,Score_Thr,Score_p95,Score_GETs,Score_Stored,Score_Total,Dominates,Dominated by
tiledb,100.0,100.0,56.56271697744998,0.0,78.48440754661749,,
zarr,30.103999748226123,94.93366506889237,25.178122956462385,100.0,46.33248479929427,hdf5,
root,0.0,0.0,100.0,100.0,30.0,,
hdf5,2.0502976444410748,64.3344774539926,0.0,93.3444259567389,21.66529022557474,,zarr
