Format,Score_GM,Score_p95,Score_GETs,Score_Stored,Score_Total,Dominates,Dominated by
zarr,100.0,25.907616970762067,59.28193261725114,100.0,81.10971665587752,,
tiledb,75.0278827931003,98.95062202797592,85.93434513211206,39.380133470225864,77.33830194168917,,
hdf5,68.8473198921124,100.0,0.0,0.0,61.30839193526744,,
root,0.0,0.0,100.0,68.25590349075975,16.825590349075974,,
