Format,n,Median_latency_ms,Median_ci_lo_ms,Median_ci_hi_ms,Median_ratio_vs_zarr,ratio_reference
tiledb,50,201.6472495,179.324872,218.7469395,0.8798518815366626,zarr
zarr,50,229.183177,219.945074,236.78913400000002,1.0,zarr
hdf5,50,234.117961,217.4975265625,241.28979700000002,1.0215320516304738,zarr
root,50,407.6659115,391.60719500000005,418.371647,1.778777643439335,zarr
