Format,n,GM_latency_ms,GM_ci_lo_ms,GM_ci_hi_ms,p95_ms,p95_ci_lo_ms,p95_ci_hi_ms,GM_ratio_vs_zarr,ratio_reference
tiledb,50,13601.54282979212,13265.21663814924,13870.778945887836,14387.3960416,13976.595486499999,14567.758604599998,0.46132748277869906,zarr
zarr,50,29483.4869751665,29254.872943911545,29741.31818499431,30279.57753895,29707.066171000002,30395.26018305,1.0,zarr
hdf5,50,151427.4461078351,151200.8565580523,151665.64127759688,152780.4520007,152178.57911815,153032.67261995,5.1360087168583615,zarr
root,50,363489.7140310302,358672.2106050286,367870.886122876,375030.85289539996,369040.7453862,376387.87318,12.328586314678184,zarr
