Format,n,GM_latency_ms,GM_ci_lo_ms,GM_ci_hi_ms,p95_ms,p95_ci_lo_ms,p95_ci_hi_ms,GM_ratio_vs_zarr,ratio_reference
zarr,50,175.8373315504218,158.85834268269087,194.77151947783642,349.19099904999996,280.67524,414.35706975,1.0,zarr
tiledb,50,214.26968980496272,203.42461605735838,227.448783203084,274.37073764999997,260.9874364,402.9422393499998,1.2185676836407198,zarr
hdf5,50,222.3548499381165,214.9391132326931,229.5283817241689,273.10613639999997,250.504519,280.9727501,1.2645485914596906,zarr
root,50,328.31161928355186,314.0489121810729,343.65374068529616,380.41216595,368.60178384999995,429.2210609999998,1.8671326298500366,zarr
