i,j,diff_ln,ratio,ratio_ci_lo,ratio_ci_hi,p_raw,p_holm
hdf5,root,-0.5215353511513657,0.5936084505364544,0.5618298178579668,0.6271845696829341,2.3314683517128287e-15,9.325873406851315e-15
hdf5,tiledb,0.21080811548472167,1.2346754172358092,1.1433802168220253,1.3332602431791996,2.4490498498064284e-06,7.347149549419285e-06
hdf5,zarr,0.0505022827341719,1.0517992643303855,0.9903711739142506,1.117037451800597,0.34713679338972103,0.34713679338972103
root,tiledb,0.7323434666360874,2.079949192300095,1.9459120221613078,2.2232190321455314,0.0,0.0
root,zarr,0.5720376338855376,1.771873805670819,1.692203175287786,1.855295409600247,0.0,0.0
tiledb,zarr,-0.16030583275054977,0.851883215335374,0.7935979953141875,0.9144491503948756,0.0001300871279455995,0.000260174255891199
