Format,Score_GM,Score_p95,Score_GETs,Score_Stored,Score_Total,Dominates,Dominated by
zarr,100.0,100.0,83.19497981301627,50.81018518518515,93.40051649982014,hdf5,
tiledb,81.86505087535335,53.070161066956494,87.15100265925061,0.0,68.44816300452837,,
hdf5,49.314634368625,48.05042803073323,0.0,13.77314814814811,40.576181042136454,,zarr
root,0.0,0.0,100.0,100.0,20.0,,
