format,point_ms,ci_lo_ms,ci_hi_ms,ci_width_ms,L_selected
hdf5,152821.48874282907,152328.27402004146,153066.7258095943,738.4517895528406,4
root,375320.9149738935,369348.985269124,376318.98700563324,6970.001736509264,10
tiledb,14427.283344229209,14068.234241722479,14581.704595240837,513.470353518358,8
zarr,30297.44883922006,29738.04254617773,30408.526161872487,670.4836156947567,10
