Format,n,Median_latency_ms,Median_ci_lo_ms,Median_ci_hi_ms,Median_ratio_vs_zarr,ratio_reference
zarr,50,154.1242265,143.11897349999998,161.814193,1.0,zarr
tiledb,50,177.971789,165.493776,197.45411800000002,1.154729486995998,zarr
hdf5,50,205.1935015,200.07065,211.665977,1.3313513790773186,zarr
root,50,263.9753815,260.8035715,271.6804465,1.7127442420611274,zarr
