Format,n,Median_latency_ms,Median_ci_lo_ms,Median_ci_hi_ms,Median_ratio_vs_zarr,ratio_reference
tiledb,50,13702.159699,13151.119678000001,13894.078946499998,0.4650870363265057,zarr
zarr,50,29461.495652999998,29286.215244000003,29668.271184,1.0,zarr
hdf5,50,151378.442452,151023.10282600002,151529.269798,5.1381791418517295,zarr
root,50,364052.88076,359638.8292635,369896.644757,12.356904247083914,zarr
